year,state_fips,county_fips,state,county,total,female,male,alaskan_or_am_indian,asian,black,hispanic,mixed,pacific_islander,white
2000,01,001,Alabama,"Autauga County",44021,51.4,48.6,0.4,0.5,17.2,1.4,0.8,0.0,81.1
2001,01,001,Alabama,"Autauga County",44889,51.4,48.6,0.5,0.6,17.1,1.5,0.9,0.0,81.0
2002,01,001,Alabama,"Autauga County",45909,51.3,48.7,0.5,0.6,17.2,1.6,0.9,0.0,80.7
2003,01,001,Alabama,"Autauga County",46800,51.4,48.6,0.5,0.6,17.3,1.7,1.0,0.0,80.6
2004,01,001,Alabama,"Autauga County",48366,51.4,48.6,0.5,0.7,17.4,1.8,1.1,0.0,80.4
2005,01,001,Alabama,"Autauga County",49676,51.3,48.7,0.5,0.7,17.4,2.0,1.1,0.1,80.2
2006,01,001,Alabama,"Autauga County",51328,51.3,48.7,0.4,0.7,17.6,2.0,1.2,0.1,79.9
2007,01,001,Alabama,"Autauga County",52405,51.4,48.6,0.4,0.8,17.7,2.2,1.3,0.1,79.7
2008,01,001,Alabama,"Autauga County",53277,51.4,48.6,0.5,0.8,17.8,2.2,1.3,0.1,79.5
2009,01,001,Alabama,"Autauga County",54135,51.3,48.7,0.5,0.8,17.9,2.3,1.4,0.1,79.3
2010,01,001,Alabama,"Autauga County",54632,51.3,48.7,0.5,0.9,17.8,2.5,1.4,0.1,79.3
2000,01,003,Alabama,"Baldwin County",141342,51.0,49.0,0.6,0.4,10.3,1.8,0.8,0.0,87.8
2001,01,003,Alabama,"Baldwin County",144875,51.1,48.9,0.6,0.4,10.3,2.0,0.9,0.0,87.8
2002,01,003,Alabama,"Baldwin County",147957,51.1,48.9,0.6,0.5,10.2,2.2,0.9,0.0,87.8
2003,01,003,Alabama,"Baldwin County",151509,51.0,49.0,0.6,0.5,10.1,2.4,1.0,0.0,87.8
2004,01,003,Alabama,"Baldwin County",156266,51.0,49.0,0.6,0.6,9.9,2.6,1.0,0.0,87.8
2005,01,003,Alabama,"Baldwin County",162183,51.0,49.0,0.6,0.6,9.8,2.9,1.1,0.1,87.8
2006,01,003,Alabama,"Baldwin County",168121,51.1,48.9,0.7,0.6,9.6,3.3,1.2,0.0,87.9
2007,01,003,Alabama,"Baldwin County",172404,51.2,48.8,0.7,0.7,9.6,3.6,1.2,0.0,87.9
2008,01,003,Alabama,"Baldwin County",175827,51.2,48.8,0.7,0.7,9.5,3.9,1.3,0.1,87.8
2009,01,003,Alabama,"Baldwin County",179406,51.1,48.9,0.7,0.7,9.5,4.2,1.3,0.1,87.7
2010,01,003,Alabama,"Baldwin County",183195,51.1,48.9,0.7,0.8,9.5,4.4,1.4,0.1,87.6
2000,01,005,Alabama,"Barbour County",29015,48.5,51.5,0.5,0.3,46.5,1.6,0.6,0.0,52.2
2001,01,005,Alabama,"Barbour County",28863,48.4,51.6,0.5,0.3,46.4,2.1,0.6,0.0,52.2
2002,01,005,Alabama,"Barbour County",28653,47.9,52.1,0.5,0.3,46.9,2.4,0.6,0.0,51.6
2003,01,005,Alabama,"Barbour County",28594,47.5,52.5,0.5,0.4,47.0,2.7,0.7,0.1,51.5
2004,01,005,Alabama,"Barbour County",28287,47.5,52.5,0.5,0.4,47.1,3.1,0.7,0.1,51.3
2005,01,005,Alabama,"Barbour County",28027,47.5,52.5,0.5,0.4,47.1,3.6,0.6,0.1,51.3
2006,01,005,Alabama,"Barbour County",27861,47.2,52.8,0.5,0.4,47.0,4.1,0.7,0.1,51.3
2007,01,005,Alabama,"Barbour County",27757,47.3,52.7,0.5,0.4,47.0,4.5,0.7,0.1,51.2
2008,01,005,Alabama,"Barbour County",27808,46.9,53.1,0.5,0.4,47.0,4.8,0.7,0.2,51.2
2009,01,005,Alabama,"Barbour County",27657,46.9,53.1,0.6,0.4,47.1,4.9,0.7,0.2,51.0
2010,01,005,Alabama,"Barbour County",27411,46.9,53.1,0.6,0.4,47.1,5.0,1.0,0.1,50.8
2000,01,007,Alabama,"Bibb County",19913,50.7,49.3,0.3,0.1,20.2,1.0,0.5,0.0,79.0
2001,01,007,Alabama,"Bibb County",21028,49.0,51.0,0.2,0.1,21.7,1.2,0.4,0.0,77.5
2002,01,007,Alabama,"Bibb County",21199,48.7,51.3,0.3,0.1,22.0,1.2,0.5,0.0,77.1
2003,01,007,Alabama,"Bibb County",21399,48.3,51.7,0.3,0.1,21.9,1.4,0.5,0.0,77.2
2004,01,007,Alabama,"Bibb County",21721,47.9,52.1,0.3,0.1,22.0,1.5,0.6,0.0,77.0
2005,01,007,Alabama,"Bibb County",22042,47.6,52.4,0.3,0.1,22.0,1.5,0.7,0.1,76.9
2006,01,007,Alabama,"Bibb County",22099,47.2,52.8,0.3,0.1,21.9,1.6,0.7,0.1,76.9
2007,01,007,Alabama,"Bibb County",22438,47.2,52.8,0.3,0.1,21.7,1.6,0.8,0.1,77.0
2008,01,007,Alabama,"Bibb County",22705,47.0,53.0,0.3,0.1,22.1,1.6,0.8,0.1,76.6
2009,01,007,Alabama,"Bibb County",22941,46.2,53.8,0.3,0.1,22.2,1.8,0.8,0.1,76.5
2010,01,007,Alabama,"Bibb County",22867,46.3,53.7,0.4,0.2,22.1,1.8,0.7,0.1,76.5
2000,01,009,Alabama,"Blount County",51107,50.1,49.9,0.5,0.2,1.2,5.3,0.8,0.0,97.3
2001,01,009,Alabama,"Blount County",51845,50.0,50.0,0.6,0.2,1.4,5.5,0.8,0.0,97.1
2002,01,009,Alabama,"Blount County",52551,50.2,49.8,0.6,0.2,1.5,5.8,0.8,0.0,97.0
2003,01,009,Alabama,"Blount County",53457,50.2,49.8,0.6,0.2,1.6,5.9,0.8,0.0,96.8
2004,01,009,Alabama,"Blount County",54124,50.2,49.8,0.6,0.2,1.6,6.2,0.8,0.0,96.7
2005,01,009,Alabama,"Blount County",54624,50.3,49.7,0.6,0.2,1.5,6.6,0.8,0.1,96.8
2006,01,009,Alabama,"Blount County",55485,50.4,49.6,0.6,0.2,1.5,6.8,0.9,0.1,96.7
2007,01,009,Alabama,"Blount County",56240,50.3,49.7,0.6,0.2,1.6,7.2,0.9,0.1,96.6
2008,01,009,Alabama,"Blount County",57055,50.3,49.7,0.6,0.2,1.5,7.5,1.0,0.1,96.6
2009,01,009,Alabama,"Blount County",57341,50.5,49.5,0.6,0.2,1.5,7.8,1.0,0.1,96.6
2010,01,009,Alabama,"Blount County",57338,50.5,49.5,0.5,0.3,1.5,8.1,1.1,0.1,96.6
2000,01,011,Alabama,"Bullock County",11581,47.7,52.3,0.4,0.2,73.3,2.8,0.6,0.0,25.6
2001,01,011,Alabama,"Bullock County",11358,47.3,52.7,0.4,0.2,72.8,3.6,0.6,0.0,26.0
2002,01,011,Alabama,"Bullock County",11256,46.9,53.1,0.4,0.2,72.2,4.2,0.6,0.1,26.5
2003,01,011,Alabama,"Bullock County",11316,46.2,53.8,0.5,0.2,71.6,4.8,0.6,0.2,26.9
2004,01,011,Alabama,"Bullock County",11056,46.3,53.7,0.6,0.2,71.9,5.3,0.6,0.2,26.5
2005,01,011,Alabama,"Bullock County",11011,46.4,53.6,0.5,0.2,71.5,5.7,0.7,0.4,26.6
2006,01,011,Alabama,"Bullock County",10776,46.5,53.5,0.5,0.2,71.8,6.1,0.7,0.5,26.2
2007,01,011,Alabama,"Bullock County",11011,45.9,54.1,0.6,0.2,71.6,6.5,0.7,0.5,26.3
2008,01,011,Alabama,"Bullock County",10953,45.6,54.4,0.7,0.2,71.1,6.7,0.9,0.7,26.5
2009,01,011,Alabama,"Bullock County",10987,45.3,54.7,0.8,0.2,70.8,7.0,0.9,0.7,26.6
2010,01,011,Alabama,"Bullock County",10890,45.9,54.1,0.9,0.4,70.9,6.4,1.4,0.4,25.9
2000,01,013,Alabama,"Butler County",21325,53.1,46.9,0.2,0.2,40.9,0.7,0.3,0.0,58.3
2001,01,013,Alabama,"Butler County",21139,53.1,46.9,0.2,0.2,41.1,0.7,0.4,0.0,58.2
2002,01,013,Alabama,"Butler County",20803,53.0,47.0,0.2,0.3,41.2,0.7,0.4,0.0,57.8
2003,01,013,Alabama,"Butler County",20833,53.0,47.0,0.2,0.4,41.6,0.7,0.4,0.0,57.4
2004,01,013,Alabama,"Butler County",20870,53.0,47.0,0.2,0.4,41.9,0.8,0.5,0.0,57.0
2005,01,013,Alabama,"Butler County",20830,52.9,47.1,0.3,0.6,41.9,0.8,0.4,0.0,56.9
2006,01,013,Alabama,"Butler County",20815,52.9,47.1,0.3,0.6,42.4,0.9,0.6,0.0,56.0
2007,01,013,Alabama,"Butler County",20894,52.8,47.2,0.3,0.7,42.8,0.9,0.6,0.0,55.6
2008,01,013,Alabama,"Butler County",20949,53.2,46.8,0.3,0.8,43.5,0.8,0.6,0.0,54.8
2009,01,013,Alabama,"Butler County",20867,53.2,46.8,0.3,0.8,43.4,0.9,0.7,0.0,54.8
2010,01,013,Alabama,"Butler County",20951,53.1,46.9,0.3,0.8,43.5,1.0,0.7,0.0,54.7
2000,01,015,Alabama,"Calhoun County",111081,52.2,47.8,0.4,0.6,18.7,1.6,0.8,0.1,79.4
2001,01,015,Alabama,"Calhoun County",111266,52.1,47.9,0.4,0.6,19.0,1.7,0.9,0.1,79.1
2002,01,015,Alabama,"Calhoun County",111625,52.0,48.0,0.5,0.6,19.2,1.8,0.9,0.1,78.8
2003,01,015,Alabama,"Calhoun County",112705,52.0,48.0,0.5,0.6,19.3,2.0,1.0,0.1,78.5
2004,01,015,Alabama,"Calhoun County",113462,51.9,48.1,0.4,0.7,19.6,2.2,1.1,0.1,78.1
2005,01,015,Alabama,"Calhoun County",114477,51.9,48.1,0.5,0.7,19.9,2.4,1.2,0.1,77.6
2006,01,015,Alabama,"Calhoun County",115388,51.9,48.1,0.5,0.7,20.1,2.6,1.3,0.1,77.4
2007,01,015,Alabama,"Calhoun County",116211,51.9,48.1,0.5,0.7,20.2,2.8,1.4,0.1,77.1
2008,01,015,Alabama,"Calhoun County",117274,51.9,48.1,0.5,0.7,20.5,2.9,1.4,0.1,76.7
2009,01,015,Alabama,"Calhoun County",118363,51.8,48.2,0.5,0.8,20.7,3.2,1.5,0.1,76.5
2010,01,015,Alabama,"Calhoun County",118510,51.8,48.2,0.5,0.7,20.7,3.4,1.6,0.1,76.4
2000,01,017,Alabama,"Chambers County",36571,52.7,47.3,0.1,0.2,38.2,0.8,0.5,0.0,60.9
2001,01,017,Alabama,"Chambers County",36274,52.5,47.5,0.1,0.2,38.3,0.9,0.5,0.0,60.8
2002,01,017,Alabama,"Chambers County",35965,52.4,47.6,0.1,0.2,38.6,1.0,0.6,0.0,60.4
